File:Sim_226.txt has rejection ratio 0.50745234375 and time taken 76 min, 50 sec
File:Sim_227.txt has rejection ratio 0.5079435546875 and time taken 77 min, 20 sec
File:Sim_228.txt has rejection ratio 0.509460546875 and time taken 77 min, 50 sec
File:Sim_229.txt has rejection ratio 0.509538671875 and time taken 78 min, 21 sec
File:Sim_230.txt has rejection ratio 0.510851171875 and time taken 78 min, 49 sec
File:Sim_231.txt has rejection ratio 0.51149375 and time taken 79 min, 19 sec
File:Sim_232.txt has rejection ratio 0.51224453125 and time taken 79 min, 47 sec
File:Sim_233.txt has rejection ratio 0.512980078125 and time taken 80 min, 17 sec
File:Sim_234.txt has rejection ratio 0.5136890625 and time taken 80 min, 45 sec
File:Sim_235.txt has rejection ratio 0.5149572265625 and time taken 81 min, 17 sec
File:Sim_0.txt has rejection ratio 0.01916015625 and time taken 0 min, 2 sec
File:Sim_1.txt has rejection ratio 0.02201171875 and time taken 0 min, 4 sec
File:Sim_2.txt has rejection ratio 0.02177734375 and time taken 0 min, 6 sec
File:Sim_3.txt has rejection ratio 0.0240625 and time taken 0 min, 8 sec
File:Sim_4.txt has rejection ratio 0.02494140625 and time taken 0 min, 10 sec
File:Sim_5.txt has rejection ratio 0.02806640625 and time taken 0 min, 12 sec
File:Sim_6.txt has rejection ratio 0.0294921875 and time taken 0 min, 14 sec
File:Sim_7.txt has rejection ratio 0.0298046875 and time taken 0 min, 16 sec
File:Sim_8.txt has rejection ratio 0.03373046875 and time taken 0 min, 18 sec
File:Sim_9.txt has rejection ratio 0.03837890625 and time taken 0 min, 20 sec
File:Sim_10.txt has rejection ratio 0.0408984375 and time taken 0 min, 22 sec
File:Sim_11.txt has rejection ratio 0.0435546875 and time taken 0 min, 24 sec
File:Sim_0.txt has rejection ratio 0.0206640625 and time taken 0 min, 5 sec
File:Sim_1.txt has rejection ratio 0.0211328125 and time taken 0 min, 7 sec
File:Sim_2.txt has rejection ratio 0.01900390625 and time taken 0 min, 2 sec
File:Sim_3.txt has rejection ratio 0.021171875 and time taken 0 min, 4 sec
File:Sim_4.txt has rejection ratio 0.019921875 and time taken 0 min, 2 sec
